DATE,CSUSHPISA,PERMIT1,EMRATIO,HSN1F,HNFSEPUSSA,HOUST1F,COMPU1USA,TLRESCONS,GDP,HOUSTSFLAA1FQ,DRSFRMACBS,RSAHORUSQ156S
2018-01-01,198.314,854.0,60.1,590.0,293.0,872.0,850.0,577668.0,20328.553,2639.0,3.48,64.2
2018-02-01,199.227,867.0,60.4,618.0,296.0,894.0,863.0,583275.0,20412.672666666665,2609.6666666666665,3.3933333333333335,64.3
2018-03-01,199.961,848.0,60.4,679.0,297.0,875.0,831.0,578850.0,20496.792333333335,2580.3333333333335,3.3066666666666666,64.4
2018-04-01,200.655,863.0,60.4,642.0,300.0,908.0,780.0,580582.0,20580.912,2551.0,3.22,64.5
2018-05-01,201.423,860.0,60.5,662.0,301.0,970.0,886.0,583912.0,20653.518,2532.3333333333335,3.1433333333333335,64.46666666666667
2018-06-01,202.237,863.0,60.5,636.0,310.0,866.0,855.0,575560.0,20726.124,2513.6666666666665,3.066666666666667,64.43333333333334
2018-07-01,202.907,885.0,60.6,628.0,313.0,869.0,811.0,566435.0,20798.73,2495.0,2.99,64.4
2018-08-01,203.688,838.0,60.3,593.0,319.0,900.0,953.0,556962.0,20838.442333333332,2522.0,2.936666666666667,64.46666666666667
2018-09-01,204.353,857.0,60.4,595.0,325.0,875.0,855.0,556838.0,20878.154666666665,2549.0,2.8833333333333333,64.53333333333333
2018-10-01,205.12,850.0,60.5,554.0,331.0,872.0,841.0,542596.0,20917.867,2576.0,2.83,64.6
2018-11-01,205.679,847.0,60.6,625.0,334.0,781.0,802.0,544806.0,20979.955666666665,2576.3333333333335,2.7866666666666666,64.46666666666667
2018-12-01,206.169,812.0,60.6,546.0,346.0,775.0,772.0,524626.0,21042.044333333335,2576.6666666666665,2.7433333333333336,64.33333333333333
2019-01-01,206.539,798.0,60.6,591.0,346.0,925.0,918.0,523358.0,21104.133,2577.0,2.7,64.2
2019-02-01,206.848,799.0,60.7,638.0,339.0,779.0,798.0,522840.0,21197.680333333334,2540.6666666666665,2.666666666666667,64.23333333333333
2019-03-01,207.047,809.0,60.6,705.0,337.0,831.0,927.0,523775.0,21291.22766666667,2504.3333333333335,2.6333333333333333,64.26666666666667
2019-04-01,207.506,797.0,60.6,695.0,334.0,870.0,920.0,529221.0,21384.775,2468.0,2.6,64.3
2019-05-01,208.138,831.0,60.6,602.0,337.0,858.0,887.0,534709.0,21487.944,2467.0,2.546666666666667,64.43333333333334
2019-06-01,208.659,845.0,60.7,763.0,331.0,864.0,878.0,546858.0,21591.113,2466.0,2.493333333333333,64.56666666666666
2019-07-01,209.262,863.0,60.8,669.0,329.0,899.0,900.0,559252.0,21694.282,2465.0,2.44,64.7
2019-08-01,210.102,904.0,60.8,720.0,326.0,903.0,949.0,566877.0,21763.65133333333,2479.6666666666665,2.4066666666666667,64.8
2019-09-01,210.913,905.0,61.0,715.0,323.0,920.0,868.0,571274.0,21833.020666666667,2494.3333333333335,2.373333333333333,64.9
2019-10-01,211.808,937.0,61.0,721.0,319.0,898.0,953.0,575523.0,21902.39,2509.0,2.34,65.0
2019-11-01,212.805,951.0,61.0,710.0,320.0,911.0,946.0,587932.0,21837.097666666665,2505.0,2.3433333333333333,65.1
2019-12-01,213.955,937.0,61.0,693.0,323.0,1009.0,907.0,594372.0,21771.805333333334,2501.0,2.3466666666666667,65.2
2020-01-01,214.99400000000003,967.0,61.1,685.0,325.0,968.0,885.0,608167.0,21706.513,2497.0,2.35,65.3
2020-02-01,215.837,986.0,61.1,699.0,328.0,1039.0,963.0,618838.0,21108.722999999998,2483.6666666666665,2.4133333333333336,66.2
2020-03-01,216.365,873.0,59.8,609.0,332.0,879.0,881.0,626300.0,20510.933,2470.3333333333335,2.4766666666666666,67.1
2020-04-01,216.801,666.0,51.3,569.0,325.0,676.0,876.0,604385.0,19913.143,2457.0,2.54,68.0
